nama,ulasan
Syafiq 2001,"Lokasi strategis. Dekat dari stasiun jombang, dekat dari lapas, dekat dari klinik nakes battra.

Alun-alun nya cocok buat workout atau sekedar cari suasana baru, buat piknik bareng keluarga juga oke. Ada abang-abang penjual jajanan juga di pinggir. Buat jogging muter 7 keliling juga oke

Ada lapangan, sepertinya biasa dipake buat upacara"
elok indrawati,"Bisa ke Alun-alun kapan aja, tapi playgroundnya tidak buka setiap saat ya.. Ada jam jam tertentu. Lain akun jombang sekarang bersih, bisa buat tempat olahraga seperti lari atau jalanan kaki. Bisa juga cuma duduk-duduk sambil lihatin anak main. Jangan membawa makanan ke area main ya.. Biar tetap bersih."
akdeas,"alun-alun sekarang vibesnya lebih positif, tiap pagi dan sore bisa jadi spot untuk olahraga jalan atau lari, ada tempat bermain khusus anak juga, hanya saja tempatnya banyak nyamuk kurang nyaman untuk beristirahat lama"
20. Muhammad Iqbal Ardian,Alun-alun ini berada dekat dengan stasiun Jombang dan Masjid Agung Baitul Mukminin. Disini terdapat playdtound yang ramah untuk bermain anak-anak. Untuk jogging dihari minggu pagi juga bisa
EkkA Aja,"Salah satu area publik yang proper buat warga jombang, cocok utk tempat bermain anak anak"
Fani Novianti,"Enak buat jalan2 pagi hari kalo libur kerja,, malam hari juga rame buat tempat bermain anak2 dan keluarga, banyak jajanan sepanjang jalan cocok buat tempat healing murah meriah, dekat dg rumah hanya 3 mnt hehe"
Ahmad Juwari,"Good vibes in Jombang city. Masa liburan seperti libur lebaran, menjelang malam (sore) berkumpul banyak warga menikmati suasana. Beberapa tempat tidak terjaga kebersihannya."
Surya Wicaksono,"cocok banget buat semua golongan usia, buat nongkrong sama anak juga cocok banget karena ada playground nya
cocok juga bagi kalian yang mau jogging sore hari
kulineran ?? ohh tenang ada banyak sekali tempat kulineran di sekitar alun alun jombang
nggak usah takut lagi buat cari tempat sholat karena  berdekatan dengan masjid"
Vina Akmala Dieny,"Salah satu taman dari 2 taman di Jombang yg bisa jadi destinasi gratis bersih dan bagus..
Usia 5-12 th
Jd untuk yang punya bayi, mungkin lebih cocok di kebunrojo, karena range usia taman ini tergolong tidak cocok bagi anak dibawah usia 5th"
sari adi,Suasana siang hari nyaman. Banyak jajanan dan minuman ringan tersedia dari penjual lokal. Dekat dengan setasiun kereta api serta tempat ibadah bagi umat Islam di sebelah barat alun-alun. Cocok untuk joging di pagi hari mupun sore hari. Lingkungan yang asri terutama pagi untuk bersantai dengan anggota keluarga.
Emi Zul,"Luas, nyaman, tapi sayang area bermainnya terkunci. Entah dibukanya kapan mungkin jam² tertentu atau hari² tertentu saja"
Mr m4ximilian0 w3N,"Alun alun Jombang ternyata Bagus banget..
+ Bagus dan luas
+ Rumput jug bagus dan rapi
+ Ada Playground gratis dan bagus, Bersih
+ Alun alunnya bersih
+ Lokasinya pas depan stasiun
+ Banyak pohon rindang. Tidak panas walau di siang hari"
Moena D'cinnamons,Tiap weekend selalu kesini momong anak2 utk bermain di Playground alon2 Jombang.
danel putra,"Sore rame banget, banyak warga yg melakukan joging, tempat bersantai, canda tawa , tempat terasa hijau dipenuhi pohon yg indah dan sejuk"
Muhammad A Akbar,"Tempat bermain n kumpul2 di jombang
Strategis dekat masjid dan stasiun, aksesnya pun mudah
Recommended buat momomg anak"
Lia Rosmala,"Rapih, bersih, kulinernya murah tp enak2, di alun2nya jg banyak arena bermain, spot foto, tanamannya jg indah"
